time,true_x,true_y,true_z,sindy_x,sindy_y,sindy_z
0.72,-6.162645227165936,-8.24171962549721,25.50914709887937,-6.13267247647788,-8.24819707275377,25.607102754398873
0.73,-6.364173571011407,-8.320113821917777,25.349776289596196,-6.3368260454295084,-8.31991958618287,25.443805794200628
0.74,-6.554655941875171,-8.412151989888315,25.216038963630997,-6.529080068458604,-8.405301533767945,25.30588821678791
0.75,-6.7363686069984645,-8.516304649832461,25.107611992430417,-6.711789992736698,-8.50286621585541,25.192944609877618
0.76,-6.911221572543187,-8.6309589688167,25.024293966051236,-6.886943446719092,-8.611054005391653,25.104703605794995
0.77,-7.080785833796247,-8.75442489534097,24.965958222992686,-7.056187693413585,-8.72823017625294,25.040980376191268
0.78,-7.24631844849433,-8.884938211359476,24.932510041692,-7.2208550392145066,-8.852689253898882,25.001633702460058
0.79,-7.408785442252584,-9.020662077219287,24.923846856885,-7.3819861427854025,-8.98265751607528,24.986526428423073
0.8,-7.568882658326151,-9.15968855541551,24.939820592412367,-7.540351317296117,-9.116295055597698,24.995488383603252
0.81,-7.727054820856185,-9.300041378515685,24.980201547294076,-7.696470036388861,-9.25169865612282,25.028281150500778
0.8200000000000001,-7.883513156729787,-9.439681087748637,25.044643584075242,-7.85062894652547,-9.386906600361277,25.084564334333617
0.8300000000000001,-8.038251993120417,-9.576513611951123,25.132650642020515,-8.00289875998499,-9.519906407542326,25.163863276560345
0.84,-8.191064768457236,-9.708403116065503,25.243544876383105,-8.153150455651344,-9.648646365189359,25.265538431287297
0.85,-8.341560010481684,-9.833189960744996,25.37643706369318,-8.301071249007526,-9.771051564013636,25.388756891308372
0.86,-8.489177763696347,-9.94871421280698,25.530200135627094,-8.44618080723982,-9.885044951366387,25.532466799818213
0.87,-8.633206958954265,-10.052844933511219,25.703446945400927,-8.587848177937836,-9.988573678974584,25.69537560290197
0.88,-8.772804207423608,-10.143515227079076,25.894513547077214,-8.72530986796068,-10.07964072999932,25.875933271256116
0.89,-8.907014395601271,-10.218762527606701,26.101449401756234,-8.857689450131986,-10.156341470116292,26.07232172894199
0.9,-9.034793380568196,-10.276773245662953,26.322015891221245,-8.984018987722715,-10.216904385881397,26.282451752624954
0.91,-9.155032921904459,-10.315930430042556,26.55369439840688,-9.1032624497607,-10.25973486803272,26.503968527927235
0.92,-9.26658785798514,-10.33486265930045,26.793705025795557,-9.21434114571386,-10.283460493060918,26.734266855351652
0.93,-9.36830532101977,-10.332491966555212,27.03903660239787,-9.316161040315578,-10.28697588667379,26.970516679025206
0.9400000000000001,-9.459055585878481,-10.308078302937986,27.28648811417471,-9.407641625591038,-10.269484956709546,27.20969917027564
0.9500000000000001,-9.537763941766906,-10.261257885769108,27.532721063832057,-9.487745837970085,-10.230538101538226,27.448653051187687
0.96,-9.603442774976262,-10.192072764369918,27.7743215598528,-9.555510327013907,-10.170061971066094,27.68413022205429
0.97,-9.65522287501178,-10.100989175146932,28.00787016891044,-9.61007522398634,-10.08837951018585,27.912859106817557
0.98,-9.69238290455359,-9.988902798897124,28.230016997657273,-9.650712439121895,-9.986218363093661,28.131613509342902
0.99,-9.714375866769293,-9.85712951255191,28.437558842952534,-9.676851450808805,-9.864706255901908,28.33728424411558
1.0,-9.720851448441072,-9.707381160932373,28.627514903078392,-9.688101549810169,-9.72535267633525,28.526950429722113
1.01,-9.711673219806752,-9.541726786242382,28.79719743605161,-9.684269574014039,-9.570016982929948,28.697947164260594
1.02,-9.686929887110065,-9.362540605550539,28.94427407471194,-9.665372314663243,-9.400863933797515,28.847926372488338
1.03,-9.646939819959744,-9.172439499849661,29.066817881722258,-9.63164298700929,-9.220308447386564,28.97490793403824
1.04,-9.592249100885308,-8.974212073460395,29.16334497952906,-9.583531423321531,-9.030952114916385,29.077318751378368
1.05,-9.523622462511018,-8.770743735434719,29.23283560451999,-9.521697944686544,-8.835514505793324,29.154018149466893
1.06,-9.442028074703508,-8.56494092879767,29.27474014244759,-9.447001176614435,-8.636762592665203,29.204308848470724
