true_x,true_y,true_z,pred_x,pred_y,pred_z
-11.473304,-11.96552,30.269,-11.472928,-11.955183,30.272976
-11.500782,-11.555694,30.806454,-11.500434,-11.546047,30.806688
-11.483962,-11.091875,31.280746,-11.483675,-11.083821,31.277012
-11.422382,-10.58384,31.68314,-11.422186,-10.578221,31.675592
-11.316621,-10.042641,32.007004,-11.316539,-10.040116,31.996183
-11.168294,-9.480077,32.248047,-11.16834,-9.48102,32.234848
-10.979999,-8.908143,32.40441,-10.980172,-8.91255,32.389977
-10.755216,-8.338472,32.476578,-10.7555,-8.345963,32.462196
-10.498163,-7.7818546,32.467175,-10.498531,-7.791689,32.45412
-10.213626,-7.247838,32.38065,-10.214042,-7.259017,32.370018
-9.906773,-6.7444577,32.2229,-9.907193,-6.7558465,32.215492
-9.582964,-6.27808,32.000847,-9.583347,-6.2885613,31.99711
-9.247573,-5.853373,31.722017,-9.247885,-5.861983,31.722046
-8.905827,-5.4733725,31.394196,-8.906042,-5.4794064,31.397717
-8.562672,-5.139632,31.025091,-8.562776,-5.1426945,31.031582
-8.222666,-4.8524218,30.622097,-8.222655,-4.8524394,30.630867
-7.889907,-4.610959,30.192114,-7.8897915,-4.608151,30.2024
-7.5679865,-4.4136457,29.741442,-7.567783,-4.408454,29.752502
-7.2599735,-4.258297,29.27572,-7.2597036,-4.251301,29.2869
-6.9684157,-4.142346,28.799921,-6.9681034,-4.1341805,28.810684
-6.6953635,-4.063026,28.318378,-6.6950316,-4.0543118,28.328318
-6.4424047,-4.017516,27.834831,-6.442075,-4.008812,27.843685
-6.2107115,-4.0030584,27.352493,-6.210399,-3.9948144,27.360107
-6.001086,-4.017048,26.874117,-6.000805,-4.009599,26.880434
-5.8140197,-4.0570903,26.402071,-5.8137774,-4.0506616,26.407097
-5.6497374,-4.1210446,25.938402,-5.6495385,-4.1157503,25.942196
-5.5082555,-4.207043,25.484907,-5.5081005,-4.2029085,25.487543
-5.3894215,-4.313496,25.043182,-5.3893094,-4.3104815,25.044754
-5.292962,-4.4390903,24.614681,-5.2928886,-4.437105,24.615274
-5.218516,-4.5827723,24.200758,-5.2184777,-4.581696,24.200455
-5.165669,-4.7437305,23.802704,-5.16566,-4.743432,23.801579
-5.133979,-4.9213696,23.421793,-5.1339946,-4.921712,23.419897
-5.122999,-5.115285,23.059296,-5.1230345,-5.116141,23.056688
-5.1322947,-5.32523,22.716518,-5.1323447,-5.3264804,22.71324
-5.161454,-5.5510864,22.394825,-5.161516,-5.5526342,22.390905
-5.2101007,-5.792829,22.095655,-5.210171,-5.7945924,22.09113
-5.2778926,-6.0504913,21.820545,-5.2779694,-6.0524106,21.81544
